260625_SnO2_+50 - 1 - 6/25/2026 12:45:45 PM,,,260625_SnO2_+50 - 2 - 6/25/2026 12:46:55 PM,,,260625_SnO2_+50 - 3 - 6/25/2026 12:48:04 PM,,,260625_SnO2_+50 - 4 - 6/25/2026 12:49:13 PM,,,260625_SnO2_+50 - 5 - 6/25/2026 12:50:22 PM,,,260625_SnO2_+50 - 6 - 6/25/2026 12:51:31 PM,,,260625_SnO2_+50 - 7 - 6/25/2026 12:52:40 PM,,,260625_SnO2_+50 - 8 - 6/25/2026 12:53:49 PM,,,260625_SnO2_+50 - 9 - 6/25/2026 12:54:58 PM,,,260625_SnO2_+50 - 10 - 6/25/2026 12:56:07 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
2.02,80.53,26.437,2.47,93.24,36.472,2.23,61.66,15.505,2.75,99.46,46.854,0.58,3.00,12.428,0.54,5.47,10.422,,,,0.76,28.01,16.428,3.35,96.37,40.203,0.67,18.60,18.236
2.28,85.29,29.691,2.54,96.14,40.100,2.30,64.64,16.811,2.82,100.00,51.033,0.61,4.45,12.593,0.57,3.85,10.555,,,,0.79,24.30,17.123,3.44,98.37,43.834,0.70,15.38,18.733
2.57,89.54,33.107,2.61,98.26,43.809,2.38,67.59,18.178,2.90,99.46,55.189,0.65,5.07,12.782,0.59,2.62,10.645,,,,0.83,20.62,17.712,3.53,99.59,47.510,0.73,12.43,19.135
2.90,93.17,36.662,2.67,99.56,47.567,2.46,70.51,19.603,2.98,97.85,59.278,0.68,4.45,12.947,0.62,0.00,10.645,,,,0.87,17.12,18.202,3.62,100.00,51.202,0.76,9.82,19.453
3.27,96.10,40.329,2.75,100.00,51.342,2.54,73.38,21.086,3.06,95.22,63.257,0.71,3.00,13.058,0.65,0.00,10.645,,,,0.91,13.90,18.600,3.71,99.59,54.878,0.80,7.59,19.698
3.68,98.25,44.077,2.82,99.56,55.100,2.62,76.19,22.626,3.14,91.66,67.087,0.75,0.00,13.058,0.70,0.00,10.645,,,,0.95,11.05,18.916,3.81,98.37,58.510,0.83,5.73,19.883
4.15,99.56,47.876,2.89,98.26,58.809,2.71,78.90,24.220,3.22,87.27,70.735,0.79,0.00,13.058,0.73,0.00,10.645,,,,1.03,3.04,19.002,3.91,96.37,62.067,0.88,0.00,19.883
4.68,100.00,51.691,2.97,96.14,62.438,2.80,81.52,25.868,3.31,82.20,74.170,0.86,0.00,13.058,0.77,0.00,10.645,,,,1.07,4.92,19.143,4.02,93.64,65.524,0.92,0.00,19.883
5.28,99.56,55.490,3.05,93.24,65.957,2.89,84.02,27.566,3.40,76.58,77.370,0.90,0.00,13.058,0.81,0.00,10.645,,,,1.11,7.30,19.352,4.12,90.24,68.855,0.96,0.00,19.883
5.95,98.25,59.238,3.13,89.63,69.340,2.99,86.39,29.312,3.49,70.57,80.319,0.95,0.00,13.058,0.85,0.00,10.645,,,,1.16,9.92,19.635,4.23,86.25,72.040,1.01,0.00,19.883
6.71,96.10,62.905,3.21,85.42,72.564,3.09,88.61,31.103,3.58,64.33,83.008,1.00,0.00,13.058,0.89,0.00,10.645,,,,1.20,12.35,19.988,4.34,81.77,75.058,1.06,0.00,19.883
7.57,93.17,66.459,3.30,80.69,75.610,3.19,90.67,32.936,3.68,58.01,85.432,1.06,0.00,13.058,0.94,0.00,10.645,,,,1.25,14.08,20.391,4.45,76.88,77.896,1.11,0.00,19.883
8.53,89.54,69.876,3.39,75.57,78.462,3.30,92.56,34.806,3.78,51.74,87.594,1.11,0.00,13.058,0.98,0.00,10.645,,,,1.30,14.71,20.812,4.57,71.70,80.543,1.16,0.00,19.883
9.62,85.29,73.130,3.48,70.15,81.110,3.41,94.25,36.711,3.88,45.65,89.502,1.17,0.00,13.058,1.03,0.00,10.645,,,,1.35,14.08,21.214,4.69,66.32,82.991,1.21,0.00,19.883
10.85,80.53,76.202,3.57,64.55,83.547,3.52,95.74,38.646,3.99,39.84,91.167,1.24,0.00,13.058,1.08,0.00,10.645,,,,1.41,12.35,21.567,4.82,60.83,85.237,1.27,0.00,19.883
12.23,75.36,79.078,3.66,58.88,85.769,3.64,97.02,40.607,4.09,34.39,92.604,1.30,0.00,13.058,1.14,0.00,10.645,,,,1.46,9.92,21.851,4.94,55.35,87.280,1.33,0.00,19.883
13.79,69.91,81.745,3.76,53.24,87.779,3.76,98.08,42.589,4.20,29.37,93.831,1.37,0.00,13.058,1.20,0.00,10.645,,,,1.52,7.30,22.060,5.07,49.95,89.124,1.39,0.00,19.883
15.55,64.28,84.197,3.86,47.72,89.580,3.88,98.92,44.588,4.32,24.81,94.868,1.45,0.00,13.058,1.25,0.00,10.645,,,,1.58,4.92,22.200,5.21,44.71,90.775,1.46,0.00,19.883
