260615_SnO2_CB_GB - 1 - 6/15/2026 2:19:44 PM,,,260615_SnO2_CB_GB - 2 - 6/15/2026 2:20:53 PM,,,260615_SnO2_CB_GB - 3 - 6/15/2026 2:22:02 PM,,,260615_SnO2_CB_GB - 4 - 6/15/2026 2:23:11 PM,,,260615_SnO2_CB_GB - 5 - 6/15/2026 2:24:20 PM,,,260615_SnO2_CB_GB - 6 - 6/15/2026 2:25:30 PM,,,260615_SnO2_CB_GB - 7 - 6/15/2026 2:26:39 PM,,,260615_SnO2_CB_GB - 8 - 6/15/2026 2:27:48 PM,,,260615_SnO2_CB_GB - 9 - 6/15/2026 2:28:57 PM,,,260615_SnO2_CB_GB - 10 - 6/15/2026 2:30:06 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
2.67,68.33,18.124,2.71,89.20,31.740,2.07,53.18,12.555,,,,1.15,50.05,12.911,2.37,60.48,14.348,2.32,69.94,17.737,2.92,58.40,14.218,0.68,8.95,8.439,2.44,41.10,8.862
2.75,71.56,19.730,2.79,92.37,34.715,2.14,56.12,13.691,,,,1.26,55.05,14.806,2.44,63.01,15.470,2.39,72.42,19.049,2.99,61.71,15.598,0.71,7.43,8.674,2.51,44.07,9.819
2.83,74.71,21.407,2.86,95.05,37.776,2.20,59.07,14.886,,,,1.40,60.14,16.875,2.51,65.54,16.636,2.46,74.85,20.405,3.07,65.01,17.051,0.75,6.03,8.864,2.59,47.11,10.843
2.92,77.77,23.153,2.95,97.18,40.906,2.27,62.04,16.141,,,,1.54,65.23,19.120,2.59,68.05,17.846,2.53,77.23,21.804,3.15,68.29,18.579,0.79,4.79,9.016,2.66,50.23,11.934
3.00,80.72,24.965,3.03,98.74,44.086,2.33,64.99,17.456,,,,1.70,70.25,21.538,2.67,70.53,19.101,2.61,79.55,23.245,3.23,71.51,20.178,0.83,3.72,9.133,2.75,53.40,13.094
3.09,83.53,26.840,3.11,99.68,47.296,2.41,67.93,18.830,,,,1.88,75.12,24.123,2.75,72.97,20.400,2.69,81.78,24.726,3.32,74.67,21.848,0.87,2.83,9.223,2.83,56.61,14.324
3.19,86.18,28.775,3.20,100.00,50.517,2.48,70.83,20.263,,,,2.07,79.77,26.869,2.83,75.36,21.741,2.77,83.93,26.246,3.41,77.74,23.586,0.96,0.00,9.223,2.91,59.83,15.624
3.28,88.65,30.765,3.29,99.68,53.728,2.55,73.67,21.754,,,,2.29,84.11,29.763,2.92,77.70,23.123,2.85,85.98,27.804,3.49,80.69,25.391,1.00,0.00,9.223,3.00,63.07,16.994
3.38,90.92,32.806,3.38,98.74,56.908,2.63,76.45,23.301,,,,2.53,88.06,32.794,3.01,79.97,24.546,2.94,87.92,29.396,3.59,83.50,27.258,1.05,0.00,9.223,3.09,66.29,18.434
3.48,92.97,34.893,3.48,97.18,60.038,2.71,79.14,24.902,,,,2.79,91.55,35.945,3.10,82.17,26.009,3.03,89.75,31.022,3.68,86.16,29.185,1.09,0.00,9.223,3.19,69.47,19.943
3.59,94.79,37.020,3.58,95.05,63.099,2.79,81.73,26.556,,,,3.08,94.51,39.197,3.19,84.27,27.508,3.12,91.45,32.679,3.77,88.63,31.167,1.14,0.00,9.223,3.28,72.61,21.521
3.70,96.35,39.183,3.68,92.37,66.074,2.88,84.21,28.260,,,,3.40,96.87,42.531,3.29,86.28,29.043,3.21,93.02,34.364,3.87,90.90,33.200,1.19,0.00,9.223,3.38,75.67,23.165
3.81,97.65,41.375,3.78,89.20,68.947,2.96,86.55,30.011,,,,3.76,98.60,45.925,3.39,88.19,30.613,3.31,94.44,36.074,3.97,92.96,35.279,1.32,4.55,9.367,3.48,78.63,24.873
3.92,98.67,43.590,3.89,85.60,71.704,3.05,88.75,31.807,,,,4.15,99.65,49.354,3.50,89.98,32.214,3.41,95.71,37.808,4.08,94.78,37.399,1.39,5.61,9.544,3.59,81.48,26.643
4.04,99.41,45.821,4.00,81.62,74.333,3.14,90.78,33.643,,,,4.58,100.00,52.796,3.60,91.64,33.844,3.51,96.83,39.562,4.18,96.34,39.554,1.46,6.87,9.761,3.70,84.19,28.472
4.16,99.85,48.063,4.11,77.33,76.823,3.24,92.65,35.518,,,,5.05,99.65,56.225,3.71,93.17,35.502,3.62,97.79,41.334,4.29,97.64,41.737,1.54,8.34,10.025,3.81,86.74,30.356
4.29,100.00,50.308,4.23,72.81,79.168,3.34,94.32,37.426,,,,5.58,98.60,59.619,3.82,94.57,37.185,3.73,98.58,43.119,4.41,98.67,43.944,1.62,10.06,10.343,3.93,89.12,32.293
4.41,99.85,52.549,4.35,68.11,81.362,3.44,95.79,39.365,,,,6.16,96.87,62.953,3.94,95.81,38.890,3.84,99.20,44.916,4.52,99.41,46.167,1.71,12.05,10.724,4.04,91.30,34.276
4.55,99.41,54.781,4.47,63.32,83.401,3.54,97.06,41.329,,,,6.80,94.51,66.205,4.06,96.91,40.614,3.96,99.64,46.721,4.64,99.85,48.400,1.80,14.32,11.177,4.17,93.27,36.302
